Date,Open,High,Low,Close,Adj Close,Volume
2024-01-02,4745.200195,4754.330078,4722.669922,4742.830078,4742.830078,3743050000
2024-01-03,4725.069824,4729.290039,4699.709961,4704.810059,4704.810059,3950760000
2024-01-04,4697.419922,4726.779785,4687.529785,4688.680176,4688.680176,3715480000
2024-01-05,4690.569824,4721.490234,4682.109863,4697.240234,4697.240234,3844370000
2024-01-08,4703.700195,4764.540039,4699.819824,4763.540039,4763.540039,3742320000
2024-01-09,4741.930176,4765.470215,4730.350098,4756.500000,4756.500000,3529960000
2024-01-10,4759.939941,4790.799805,4756.200195,4783.450195,4783.450195,3498680000
2024-01-11,4792.129883,4798.500000,4739.580078,4780.240234,4780.240234,3759890000
2024-01-12,4791.180176,4802.399902,4768.979980,4783.830078,4783.830078,3486340000
2024-01-16,4772.350098,4782.339844,4747.120117,4765.979980,4765.979980,4260550000
2024-01-17,4739.129883,4744.229980,4714.819824,4739.209961,4739.209961,3928600000
2024-01-18,4760.100098,4785.790039,4740.569824,4780.939941,4780.939941,4019000000
2024-01-19,4796.279785,4842.069824,4785.870117,4839.810059,4839.810059,4287200000
2024-01-22,4853.419922,4868.410156,4844.049805,4850.430176,4850.430176,4297610000
2024-01-23,4856.799805,4866.479980,4844.370117,4864.600098,4864.600098,3912800000
2024-01-24,4888.560059,4903.680176,4865.939941,4868.549805,4868.549805,4330030000
2024-01-25,4886.660156,4898.149902,4869.339844,4894.160156,4894.160156,4020430000
2024-01-26,4888.910156,4906.689941,4881.470215,4890.970215,4890.970215,3353400000
2024-01-29,4892.950195,4929.310059,4887.399902,4927.930176,4927.930176,3525160000
2024-01-30,4925.890137,4931.089844,4916.270020,4924.970215,4924.970215,3836130000
2024-01-31,4899.189941,4906.750000,4845.149902,4845.649902,4845.649902,4696120000
2024-02-01,4861.109863,4906.970215,4853.520020,4906.189941,4906.189941,4386090000
2024-02-02,4916.060059,4975.290039,4907.990234,4958.609863,4958.609863,3974350000
2024-02-05,4957.189941,4957.189941,4918.089844,4942.810059,4942.810059,4023640000
2024-02-06,4950.160156,4957.770020,4934.879883,4954.229980,4954.229980,4440880000
2024-02-07,4973.049805,4999.890137,4969.049805,4995.060059,4995.060059,4895590000
2024-02-08,4995.160156,5000.399902,4987.089844,4997.910156,4997.910156,4341860000
2024-02-09,5004.169922,5030.060059,5000.339844,5026.609863,5026.609863,3912990000
2024-02-12,5026.830078,5048.390137,5016.830078,5021.839844,5021.839844,3805740000
2024-02-13,4967.939941,4971.299805,4920.310059,4953.169922,4953.169922,4302190000
2024-02-14,4976.439941,5002.520020,4956.450195,5000.620117,5000.620117,3845600000
2024-02-15,5003.140137,5032.720215,4999.439941,5029.729980,5029.729980,4137970000
2024-02-16,5031.129883,5038.700195,4999.520020,5005.569824,5005.569824,3833270000
2024-02-20,4989.319824,4993.709961,4955.020020,4975.509766,4975.509766,4034880000
2024-02-21,4963.029785,4983.209961,4946.000000,4981.799805,4981.799805,3788390000
2024-02-22,5038.830078,5094.390137,5038.830078,5087.029785,5087.029785,4051710000
2024-02-23,5100.919922,5111.060059,5081.459961,5088.799805,5088.799805,3672790000
2024-02-26,5093.000000,5097.660156,5068.910156,5069.529785,5069.529785,3683930000
2024-02-27,5074.600098,5080.689941,5057.290039,5078.180176,5078.180176,3925950000
2024-02-28,5067.200195,5077.370117,5058.350098,5069.759766,5069.759766,3789370000
2024-02-29,5085.359863,5104.990234,5061.890137,5096.270020,5096.270020,5219740000
2024-03-01,5098.509766,5140.330078,5094.160156,5137.080078,5137.080078,4748110000
2024-03-04,5130.990234,5149.669922,5127.180176,5130.950195,5130.950195,4758440000
2024-03-05,5110.520020,5114.540039,5056.819824,5078.649902,5078.649902,4418410000
2024-03-06,5108.029785,5127.970215,5092.220215,5104.759766,5104.759766,4559050000
2024-03-07,5132.379883,5165.620117,5128.209961,5157.359863,5157.359863,4137980000
